SubjectName,TrialNumber,TrialName,FrechetLearn,FrechetShortcut,FrechetReversed,FrechetTopo,LearnDistance,ShortcutDistance,Failure
AB04KO,3,dsp1_22,5.0,1.0,5.656854249492381,1.0,19.0,9.0,1
AB04KO,4,dsp1_18,4.123105625617661,4.47213595499958,6.082762530298219,4.123105625617661,14.0,8.0,0
AB04KO,5,dsp1_24,3.0,4.123105625617661,7.0710678118654755,4.123105625617661,18.0,10.0,0
AB04KO,6,dsp1_08,4.0,4.47213595499958,5.385164807134504,4.47213595499958,21.0,9.0,0
AB04KO,7,dsp1_23,4.0,6.082762530298219,6.324555320336759,6.082762530298219,21.0,9.0,0
AB04KO,8,dsp1_13,5.0,1.0,10.295630140987,4.0,21.0,17.0,0
AB04KO,9,dsp1_04,8.06225774829855,8.246211251235321,8.54400374531753,8.06225774829855,18.0,12.0,1
AB04KO,10,dsp1_17,4.0,3.1622776601683795,6.082762530298219,3.1622776601683795,16.0,10.0,0
AB04KO,11,dsp1_21,11.313708498984761,11.313708498984761,6.4031242374328485,12.041594578792296,16.0,10.0,1
AB04KO,12,dsp1_09,4.0,6.082762530298219,8.06225774829855,6.082762530298219,18.0,12.0,0
AB04KO,13,dsp1_10,2.0,1.0,7.211102550927978,3.605551275463989,15.0,11.0,0
AB04KO,14,dsp1_05,4.242640687119285,3.1622776601683795,9.219544457292887,3.605551275463989,20.0,14.0,0
AB04KO,15,dsp1_07,2.0,3.605551275463989,9.848857801796104,5.656854249492381,22.0,14.0,0
AB04KO,16,dsp1_06,4.0,0.0,7.211102550927978,5.0,13.0,11.0,0
AB04KO,17,dsp1_16,3.605551275463989,0.0,6.0,3.605551275463989,15.0,11.0,0
AB04KO,18,dsp1_19,4.0,0.0,6.082762530298219,1.0,22.0,8.0,0
AB04KO,19,dsp1_02,5.0,4.123105625617661,7.0710678118654755,4.123105625617661,21.0,11.0,0
AB04KO,20,dsp1_11,4.0,3.605551275463989,3.605551275463989,3.605551275463989,23.0,5.0,0
AB04KO,21,dsp1_14,7.615773105863909,7.0710678118654755,9.899494936611665,5.830951894845301,15.0,11.0,1
AB04KO,22,dsp1_03,5.0990195135927845,5.0,10.04987562112089,5.0990195135927845,22.0,16.0,0
JE02DE,3,dsp1_09,6.082762530298219,0.0,8.06225774829855,1.0,18.0,12.0,0
JE02DE,4,dsp1_05,6.708203932499369,5.0,9.219544457292887,1.0,20.0,14.0,0
JE02DE,5,dsp1_21,8.06225774829855,8.06225774829855,6.4031242374328485,8.06225774829855,16.0,10.0,1
JE02DE,6,dsp1_08,4.242640687119285,3.0,5.385164807134504,3.605551275463989,21.0,9.0,0
JE02DE,7,dsp1_13,6.324555320336759,4.123105625617661,10.295630140987,4.0,21.0,17.0,0
JE02DE,8,dsp1_19,7.810249675906654,7.810249675906654,7.0710678118654755,7.810249675906654,22.0,8.0,1
JE02DE,9,dsp1_18,8.06225774829855,8.246211251235321,11.313708498984761,8.06225774829855,14.0,8.0,1
JE02DE,10,dsp1_10,2.0,0.0,7.211102550927978,3.605551275463989,15.0,11.0,0
JE02DE,11,dsp1_22,5.830951894845301,5.830951894845301,5.830951894845301,5.830951894845301,19.0,9.0,0
JE02DE,12,dsp1_11,5.656854249492381,0.0,2.8284271247461903,0.0,23.0,5.0,0
JE02DE,13,dsp1_07,3.0,3.605551275463989,9.848857801796104,3.605551275463989,22.0,14.0,0
JE02DE,14,dsp1_17,8.602325267042627,7.810249675906654,7.0710678118654755,7.810249675906654,16.0,10.0,1
JE02DE,15,dsp1_23,8.246211251235321,8.246211251235321,6.324555320336759,8.246211251235321,21.0,9.0,1
JE02DE,16,dsp1_03,6.4031242374328485,5.0,10.04987562112089,6.4031242374328485,22.0,16.0,0
JE02DE,17,dsp1_24,6.0,3.0,7.0,1.0,18.0,10.0,0
JE02DE,18,dsp1_02,7.810249675906654,5.830951894845301,7.0710678118654755,5.830951894845301,21.0,11.0,1
JE02DE,19,dsp1_06,4.123105625617661,3.1622776601683795,7.211102550927978,3.605551275463989,13.0,11.0,0
JE02DE,20,dsp1_14,4.0,2.8284271247461903,6.324555320336759,1.0,15.0,11.0,0
JE02DE,21,dsp1_04,5.0990195135927845,8.246211251235321,8.54400374531753,7.280109889280518,18.0,12.0,0
JE02DE,22,dsp1_16,3.605551275463989,0.0,6.0,3.605551275463989,15.0,11.0,0
