subID,eff_avg,point_avg,num_failures,num_shortcut,solution_index
AB04KO,1.9459435009435004,66.2024855,4,9,0.5625
ab25fa,1.2469094794094795,19.929990849999978,0,18,0.9
AL07ME,1.1444917582417582,26.66250745,0,17,0.85
AL15MA,2.0530322455322456,70.33998249999999,9,7,0.6363636363636364
AN15PO,1.7334052059052059,40.24500250000001,1,10,0.5263157894736842
AU23KI,1.4967200854700855,35.79000589999997,0,16,0.8
AU24FR,2.164603035853036,52.95748900000001,6,4,0.2857142857142857
AV16ME,2.1559171384171383,58.08498699999999,7,2,0.15384615384615385
BE10AH,1.047275641025641,19.480002499999905,0,19,0.95
BI05IL,1.140874125874126,18.290003999999975,0,17,0.85
BR17CH,1.8145791708291708,40.82999494999999,1,9,0.47368421052631576
br19br,1.8568120768120768,75.3624935,2,9,0.5
br19fr,1.7625180375180374,55.265002,4,8,0.5
BR20CO,2.091377372627373,77.33497799999999,0,9,0.45
BR21FR,1.198329032079032,23.477502399999985,0,16,0.8
BR22FA,1.1895833333333332,17.012517550000005,0,15,0.75
ca16he,2.1113536463536464,66.53999350000001,8,6,0.5
CH06ZA,1.8673881673881674,49.32001150000001,5,8,0.5333333333333333
ch12cr,1.9489554889554885,44.102495049999995,2,7,0.3888888888888889
CI13GA,2.05145313020313,52.05249150000005,0,9,0.45
CL26RO,1.8660227272727272,52.320000999999934,7,10,0.7692307692307693
DA17HA,1.790040515040515,50.36250600000001,0,8,0.4
EM21TA,1.7016086691086691,64.34499650000001,2,11,0.6111111111111112
EV23VA,1.4727392052392054,20.60750864999998,0,11,0.55
gi01ca,2.0475,67.67998612000002,13,5,0.7142857142857143
GR25BE,2.0555799755799753,62.61997797501552,6,8,0.5714285714285714
HA05KO,1.9098651348651352,48.40749565000001,2,11,0.6111111111111112
HA25SH,1.7157099844599846,48.74251015,2,9,0.5
HE29FI,1.731332278832279,43.48000814999999,1,8,0.42105263157894735
IS04LI,1.8609967809967807,66.01747785,3,8,0.47058823529411764
JA13SI,2.1664771339771334,36.55750304500001,3,9,0.5294117647058824
JA21AC,1.7808501221001218,41.42749300000001,4,12,0.75
Ji18Fe,1.4543842268842266,36.057501749999986,1,9,0.47368421052631576
jo21ho,1.944059967809968,48.404996999999966,1,11,0.5789473684210527
JU04BA,1.9997766122766119,77.14498799999998,1,6,0.3157894736842105
KA15AN,1.651775308025308,40.55255050000001,2,10,0.5555555555555556
KE17FI,1.121111111111111,13.447514499999992,0,16,0.8
LA27WA,1.15,39.2374645,0,16,0.8
le19he,2.0941512654012655,62.73750149999999,3,8,0.47058823529411764
le28ed,1.9400477300477295,61.59750069999999,5,10,0.6666666666666666
LU15CR,1.4403445165945166,34.304973999999994,0,14,0.7
LU16WA,1.1332575757575756,11.524986199999955,0,19,0.95
LU25MA,1.756877428127428,58.28999799999997,2,13,0.7222222222222222
MA14BL,2.3226628926628927,86.325014,4,0,0.0
MA21SA,1.8018149905649903,37.890015999999996,3,9,0.5294117647058824
ma26pa,1.8390227827727827,40.13001955,1,9,0.47368421052631576
MI23GO,1.661978021978022,53.94000100000015,4,15,0.9375
MO31OC,1.854722915972916,40.054990999999966,0,14,0.7
NI23DI,2.0835643523143523,60.53497850000001,2,9,0.5
NO26TH,1.6057516095016093,40.07248945000004,0,9,0.45
OL08JO,1.2535149572649573,28.587491500000045,0,15,0.75
PA24MA,2.038690476190476,58.242491099999995,11,8,0.8888888888888888
pi14me,1.997119963369963,58.797486499999955,1,7,0.3684210526315789
RA16WO,1.2161717449217448,25.385011799999994,0,16,0.8
RA28CH,2.3449415168165166,50.52001754999999,2,4,0.2222222222222222
RE19KA,1.6684126984126983,23.632491699999967,0,9,0.45
SA10YA,1.6989091464091461,29.791236499999986,5,12,0.8
SH01GU,1.5802775002775002,47.89749049999999,1,12,0.631578947368421
SI14GA,1.4568045843045845,53.05499699999999,1,13,0.6842105263157895
SO12RI,1.942859779109779,55.13750749999999,1,7,0.3684210526315789
su03ni,1.807912781662782,44.87248094999998,1,10,0.5263157894736842
TA21CA,2.0781592019092017,52.33999350000001,3,3,0.17647058823529413
TA26FU,2.023386752136752,95.20251655,2,6,0.3333333333333333
TA26LE,1.437456154956155,25.4974965,0,13,0.65
TE03ZA,2.145897297147297,64.52750099999997,6,9,0.6428571428571429
TE25EL,1.0222222222222221,15.367484999999993,0,16,0.8
TE30GO,1.9751934176934178,56.1224645,1,10,0.5263157894736842
TV10PA,1.7376689976689979,39.827442999999924,1,11,0.5789473684210527
VA17HA,1.8332796370296371,61.97500219999999,3,6,0.35294117647058826
VA25JI,1.2242277167277167,23.450031899999967,0,16,0.8
XI03ME,1.8435042735042735,56.90999220000001,5,8,0.5333333333333333
XI31SH,1.353089133089133,21.09749259999999,1,15,0.7894736842105263
YI11LI,1.6855866355866354,47.83749915,2,11,0.6111111111111112
